slug;имя (RU);имя (EN);по словарю
lev-mendelevich;Лев Менделевич;Lev Mendelevich;да
leonid-sternik;Леонид Стерник;Leonid Sternik;да
doktor-maor-laav;Маор Лаав;Maor Laav;да
marina-anuk;Марина Анук;Marina Anuk;да
mark-gotkin;Марк Готкин;Mark Gotkin;нет
mihael-vajman;Михаэль Вайман;Michael Weiman;да
or-kajzerman-2;Ор Кайзерман;Or Kaiserman;да
oren-shibolet;Орен Шиболет;Oren Shibolet;да
avi-ben-harush;Профессор Ави Бен Харуш;Prof. Avi Ben Harush;нет
anna-padua;Профессор Анна Падуа;Prof. Anna Padua;да
professor-arik-blashar;Профессор Арик Блашар;Prof. Arik Blashar;да
gabriel-zeilig;Профессор Габриэль Зейлиг;Prof. Gabriel Zeilig;да
gadi-keren;Профессор Гади Керен;Prof. Gadi Keren;да
professor-gideon-gidi-bahar;Профессор Гидеон (Гиди) Бахар;Prof. Gideon Gidi Bahar;да
david-lure;Профессор Давид Лурье;Prof. David Lurie;да
professor-dan-aderka;Профессор Дан Адерка;Prof. Dan Aderka;да
professor-dan-kaspi;Профессор Дан Каспи;Prof. Dan Caspi;да
dan-flis;Профессор Дан Флис;Prof. Dan Fliss;да
professor-dzhek-baniel;Профессор Джек Баниэль;Prof. Jack Baniel;да
dov-vajnberger;Профессор Дов Вайнбергер;Prof. Dov Weinberger;да
dor-ieshua;Профессор Дор Иешуа;Prof. Dor Yeshua;да
professor-igal-lejbovich;Профессор Игаль Лейбович;Prof. Yigal Leibovich;да
professor-ido-volf;Профессор Идо Вольф;Prof. Ido Wolf;да
professor-ieguda-kolander;Профессор Иегуда Коландер;Prof. Yehuda Kolander;да
professor-ilan-bank;Профессор Илан Банк;Prof. Ilan Bank;да
professor-ilana-iczhakov;Профессор Илана Ицхаков;Prof. Ilana Itzhakov;да
professor-iosif-klauzner;Профессор Иосиф Клаузнер;Prof. Yosef Klausner;да
professor-luis-shenkman;Профессор Луис Шенкман;Prof. Luis Shenkman;да
doktor-marat-hajkin-2;Профессор Марат Хайкин;Prof. Marat Haikin;да
professor-mihael-shapira;Профессор Михаэль Шапира;Prof. Michael Shapira;да
mihael-shehter;Профессор Михаэль Шехтер;Prof. Michael Shechter;да
professor-mihael-eldar;Профессор Михаэль Эльдар;Prof. Michael Eldar;да
professor-moshe-pappa;Профессор Моше Паппа;Prof. Moshe Pappa;да
professor-naftali-shtern;Профессор Нафтали Штерн;Prof. Naftali Stern;да
professor-nikola-mabdzhish;Профессор Никола Мабджиш;Prof. Nikola Mabdzhish;нет
nir-giladi;Профессор Нир Гилади;Prof. Nir Giladi;да
nissan-aviram;Профессор Ниссан Авирам;Prof. Nissan Aviram;нет
ofer-merimskij;Профессор Офер Меримский;Prof. Ofer Merimsky;да
professor-ofer-yusipovich;Профессор Офер Юсипович;Prof. Ofer Yusipovich;нет
professor-pnina-langevich;Профессор Пнина Лангевич;Prof. Pnina Langevich;нет
doktor-ram-ejtan;Профессор Рам Эйтан;Prof. Ram Eytan;нет
ron-hauzer;Профессор Рон Хаузер;Prof. Ron Hauzer;нет
sami-viskin;Профессор Сами Вискин;Prof. Sami Viskin;нет
tatyana-gurevich;Профессор Татьяна Гуревич;Prof. Tatiana Gurevich;нет
professor-uri-elbaz;Профессор Ури Эльбаз;Prof. Uri Elbaz;нет
professor-haim-gutman;Профессор Хаим Гутман;Prof. Haim Gutman;да
professor-haim-maczkin;Профессор Хаим Мацкин;Prof. Haim Matzkin;да
professor-hohberg-zeev;Профессор Хохберг Зеев;Prof. Hochberg Ze'ev;да
czvi-ram;Профессор Цви Рам;Prof. Zvi Ram;да
shimon-rohkind;Профессор Шимон Рохкинд;Prof. Shimon Rochkind;да
professor-shlomo-konstantini;Профессор Шломо Константини;Prof. Shlomo Constantini;да
professor-shlomo-shnejbaum;Профессор Шломо Шнейбаум;Prof. Shlomo Schneebaum;да
shmuel-banaj;Профессор Шмуэль Банай;Prof. Shmuel Banai;да
shmuel-dekel-4;Профессор Шмуэль Декель;Prof. Shmuel Dekel;да
shmuel-levit;Профессор Шмуэль Левит;Prof. Shmuel Levit;да
professor-shmuel-rat;Профессор Шмуэль Рат;Prof. Shmuel Rat;нет
professor-eli-shpreher;Профессор Эли Шпрехер;Prof. Eli Sprecher;да
professor-ella-naperstka;Профессор Элла Наперстка;Prof. Ella Naperstka;нет
professor-ehud-raanani;Профессор Эхуд Раанани;Prof. Ehud Raanani;да
eyal-vinkler;Профессор Эяль Винклер;Prof. Eyal Winkler;да
professor-eyal-gur;Профессор Эяль Гур;Prof. Eyal Gur;нет
professor-yuval-yaron;Профессор Юваль Ярон;Prof. Yuval Yaron;нет
professor-yuza-hen;Профессор Юза Хен;Prof. Yuza Chen;да
professor-yair-moran;Профессор Яир Морад;Prof. Yair Morad;да
yakov-bikels;Профессор Яков Бикельс;Prof. Yaakov Bikels;да
professor-yakov-shehter;Профессор Яков Шехтер;Prof. Yaakov Shechter;да
ram-silfan;Рам Сильфан;Ram Silfan;да
ran-harel;Ран Харэль;Ran Harel;да
rahel-grosman;Рахель Гросман;Rachel Grossman;да
doktor-riad-hadad;Риад Хадад;Riad Hadad;да
ron-grinberg;Рон Гринберг;Ron Grinberg;да
ronen-alkalaj;Ронен Алькалай;Ronen Alkalay;да
ronen-gold;Ронен Голд;Ronen Gold;да
roni-rahmiel;Рони Рахмиэль;Roni Rachmiel;да
santo-ervin;Санто Эрвин;Santo Ervin;да
svetlana-zalmanova;Светлана Залманова;Svetlana Zalmanova;нет
tamar-shalev;Тамар Шалев;Tamar Shalev;нет
uri-gur;Ури Гур;Uri Gur;нет
feliks-bokshtejn;Феликс Бокштейн;Feliks Bokstein;нет
professor-hanoh-kashtan;Ханох Каштан;Hanoch Kashtan;да
shpirer-avraam;Шпирер Авраам;Shpirer Avraham;нет
eli-tavdi;Эли Тавди;Eli Tavdi;да
ella-tepper;Элла Теппер;Ella Tepper;да
doktor-yuliya-grinberg;Юлия Гринберг;Yulia Grinberg;да
yurij-goldes;Юрий Гольдес;Yuri Goldes;да
